x_over_h,Cf_ML
0.000000000000000000e+00,1.281112466666666470e-02
2.678464319642857916e+00,1.070370179578735738e-02
5.353663143392857648e+00,8.729644497612527518e-03
8.010580127321432542e+00,2.232482033501808575e-03
1.061450204517857365e+01,-5.846503902767754071e-03
1.312647218267857774e+01,-7.594029930765680211e-03
1.553244542553571605e+01,-6.493403915950090102e-03
1.784582381660714034e+01,-5.110625853087194352e-03
2.009116427732142895e+01,-4.066275975123786676e-03
2.229527177732143528e+01,-3.236549509896817067e-03
2.448455781125000286e+01,-2.536195358331479275e-03
2.667852838089284973e+01,-2.076650926117081658e-03
2.888510815589285841e+01,-1.856552475829778386e-03
3.110597599875000441e+01,-1.799442901977151227e-03
3.334121031839285365e+01,-1.860027190896574364e-03
3.558988525232142308e+01,-1.989533222264913866e-03
3.785125368089284592e+01,-2.127274005556305594e-03
4.012903353803570639e+01,-2.279592611149543722e-03
4.243255716303571035e+01,-2.217748257161849829e-03
4.477327846660713817e+01,-2.156588728055096327e-03
4.716365859160713114e+01,-2.092194020977327859e-03
4.961736484160711314e+01,-1.964389673761930341e-03
5.214662794875001595e+01,-1.828847621135981606e-03
5.475846737732143765e+01,-1.688368277574230948e-03
5.745604068089283345e+01,-1.535440085210854110e-03
6.024116964517858008e+01,-1.382902778502223496e-03
6.311406748446427883e+01,-1.289428131479666579e-03
6.607289318089286212e+01,-1.387846033771310272e-03
6.908727859160714502e+01,-1.840632581382357436e-03
7.210323444875000121e+01,-2.267379666666667105e-03
7.509706127017857114e+01,-2.561132333333332976e-03
7.807133121660712050e+01,-2.788501000000000087e-03
8.102822196660713416e+01,-2.960159000000000835e-03
8.396960641303573425e+01,-3.090779333333334121e-03
8.689710714517855195e+01,-3.190259333333332701e-03
8.981213809160713879e+01,-3.267131333333332666e-03
9.271593939517856597e+01,-3.327474666666665852e-03
9.560960425232141802e+01,-3.375326333333333699e-03
9.849410205589288125e+01,-3.413950666666666547e-03
1.013702971630357013e+02,-3.444595333333332673e-03
1.042389633237499851e+02,-3.465774666666666774e-03
1.071007967880357086e+02,-3.492714666666665510e-03
1.099564269308928743e+02,-3.498169666666667808e-03
1.128064254487500051e+02,-3.506061000000000854e-03
1.156513134487500025e+02,-3.504367666666665868e-03
1.184915684130357363e+02,-3.504708000000001343e-03
1.213276301451785315e+02,-3.486353666666666944e-03
1.241599050380357596e+02,-3.469536999999999535e-03
1.269887705558928559e+02,-3.446443333333333147e-03
1.298145788951785562e+02,-3.418617999999999570e-03
1.326376602701785714e+02,-3.386413333333333168e-03
1.354583258237499876e+02,-3.349856333333333606e-03
1.382768701808928995e+02,-3.309260999999999973e-03
1.410935737880357124e+02,-3.265165666666666310e-03
1.439087051451785157e+02,-3.218079666666666741e-03
1.467225223773214111e+02,-3.168989000000000094e-03
1.495352753058928670e+02,-3.118525666666666345e-03
1.523472073058927947e+02,-3.067000666666666597e-03
1.551585565023213746e+02,-3.015177333333333553e-03
1.579695574487499812e+02,-2.963163666666666744e-03
1.607804425558927903e+02,-2.911395666666666097e-03
1.635914435023214537e+02,-2.860354999999999755e-03
1.664027926987500052e+02,-2.810287000000000288e-03
1.692147246987499898e+02,-2.760878999999999937e-03
1.720274776273214172e+02,-2.711538666666667066e-03
1.748412948594643126e+02,-2.662507000000000155e-03
1.776564262166070876e+02,-2.614197333333332686e-03
1.804731298237499857e+02,-2.567773666666666506e-03
1.832916741808928407e+02,-2.523946333333333594e-03
1.861123397344642285e+02,-2.483039999999999293e-03
1.889354211094641869e+02,-2.445354666666666593e-03
