x_over_h,Cf_Spalding,Cf_ML,Cf_ML_newGrid,Cf_Spalding_newGrid,Cf_Classifier_newGrid
0.000000000000000000e+00,1.843199433333332984e-02,1.281112466666666470e-02,3.993997445211110858e-02,2.437414754539999825e-02,3.935365463826666355e-02
2.678464319642857916e+00,1.871539108458333822e-02,1.070370179578735738e-02,3.846306911566509806e-02,2.456353483516549030e-02,3.778786751374144104e-02
5.353663143392857648e+00,1.901732356229127868e-02,8.729644497612527518e-03,3.710036892490327365e-02,2.501214173739612148e-02,3.635138561303678795e-02
8.010580127321432542e+00,1.809983664771135092e-02,2.232482033501808575e-03,3.080021179245576862e-02,2.364127076971830541e-02,2.981308047086578261e-02
1.061450204517857365e+01,1.536196735220227670e-02,-5.846503902767754071e-03,1.974534278830053502e-02,1.975163880897497573e-02,1.892743358301642378e-02
1.312647218267857774e+01,1.156890995934494078e-02,-7.594029930765680211e-03,8.562817391627107824e-03,1.358525812363447702e-02,8.340867320525217551e-03
1.553244542553571605e+01,7.903736701208989926e-03,-6.493403915950090102e-03,1.875004310383988036e-03,7.782018411192491436e-03,1.788844972140876417e-03
1.784582381660714034e+01,4.989925098565500469e-03,-5.110625853087194352e-03,-1.329880272015927008e-03,3.116650146008738409e-03,-1.417305476973065425e-03
2.009116427732142895e+01,2.678345223817284529e-03,-4.066275975123786676e-03,-1.801087095407756175e-03,4.532461383998027168e-04,-1.893905511602241238e-03
2.229527177732143528e+01,4.810686970386781561e-04,-3.236549509896817067e-03,-1.640538428784754860e-03,-5.880065420789075533e-04,-1.712619456674198968e-03
2.448455781125000286e+01,-3.570301499119679189e-04,-2.536195358331479275e-03,-1.467763647559677722e-03,-9.340956150983113901e-04,-1.509685966150049480e-03
2.667852838089284973e+01,-7.022582849241972838e-04,-2.076650926117081658e-03,-1.337873454529595442e-03,-1.081756276048680349e-03,-1.374543072029941462e-03
2.888510815589285841e+01,-8.173247946557137596e-04,-1.856552475829778386e-03,-1.272265487217864649e-03,-1.188240929213350708e-03,-1.311444700520051623e-03
3.110597599875000441e+01,-8.750373746247613925e-04,-1.799442901977151227e-03,-1.269767939498015396e-03,-1.275626600277691243e-03,-1.300599553063854419e-03
3.334121031839285365e+01,-9.122275861077855071e-04,-1.860027190896574364e-03,-1.310962494785949776e-03,-1.310353691897262352e-03,-1.324394006750908214e-03
3.558988525232142308e+01,-9.355915014490448793e-04,-1.989533222264913866e-03,-1.385351420084592923e-03,-1.307438399467633844e-03,-1.374280739587979694e-03
3.785125368089284592e+01,-9.538943552035916359e-04,-2.127274005556305594e-03,-1.473305902302516398e-03,-1.305492957568369543e-03,-1.436973077421490903e-03
4.012903353803570639e+01,-9.532362423515560249e-04,-2.279592611149543722e-03,-1.562542320944301398e-03,-1.318984306196733158e-03,-1.501463963600196136e-03
4.243255716303571035e+01,-9.409981285888000544e-04,-2.217748257161849829e-03,-1.643726274315406629e-03,-1.333730715393340472e-03,-1.561901949553619632e-03
4.477327846660713817e+01,-9.040919899045480766e-04,-2.156588728055096327e-03,-1.712335222496350062e-03,-1.328130237942962708e-03,-1.617412764983799760e-03
4.716365859160713114e+01,-8.685534455963454022e-04,-2.092194020977327859e-03,-1.761984050443252950e-03,-1.301060776454434536e-03,-1.642239176716552397e-03
4.961736484160711314e+01,-8.272542944210693706e-04,-1.964389673761930341e-03,-1.803422137459060898e-03,-1.259554636567199529e-03,-1.670360853952752118e-03
5.214662794875001595e+01,-7.877878308332077585e-04,-1.828847621135981606e-03,-1.843303582006941251e-03,-1.213896418940086513e-03,-1.702653429062752927e-03
5.475846737732143765e+01,-7.507757857963186059e-04,-1.688368277574230948e-03,-1.884181836044041469e-03,-1.166958630979582877e-03,-1.741211091648327269e-03
5.745604068089283345e+01,-7.158232501291107632e-04,-1.535440085210854110e-03,-1.927499339557566579e-03,-1.117469436194379285e-03,-1.790341332975185600e-03
6.024116964517858008e+01,-6.831444374173103844e-04,-1.382902778502223496e-03,-1.980025992551268446e-03,-1.062402721492260735e-03,-1.851760998071232903e-03
6.311406748446427883e+01,-6.549701094551338117e-04,-1.289428131479666579e-03,-2.054872064443169239e-03,-9.988977586997006136e-04,-1.946725750635876868e-03
6.607289318089286212e+01,-6.305849526676551636e-04,-1.387846033771310272e-03,-2.187062120372195752e-03,-9.250598701686409131e-04,-2.110133392813866218e-03
6.908727859160714502e+01,-6.002002195152186716e-04,-1.840632581382357436e-03,-2.406851686895387140e-03,-8.265171377927674591e-04,-2.381242828972614505e-03
7.210323444875000121e+01,-5.533203666666666959e-04,-2.267379666666667105e-03,-2.573749090033397146e-03,-6.832534742802282490e-04,-2.611711928911219713e-03
7.509706127017857114e+01,-4.921309666666665462e-04,-2.561132333333332976e-03,-2.667440021511366562e-03,-5.054577489884135629e-04,-2.765204714158588876e-03
7.807133121660712050e+01,-4.242562666666668011e-04,-2.788501000000000087e-03,-2.709951021860669898e-03,-3.017744582723406359e-04,-2.862141762522544142e-03
8.102822196660713416e+01,-3.533561999999999966e-04,-2.960159000000000835e-03,-2.719686503180095919e-03,-8.287454529631470062e-05,-2.916037959331114777e-03
8.396960641303573425e+01,-2.819378000000000639e-04,-3.090779333333334121e-03,-2.707997025722354550e-03,1.431789651312352835e-04,-2.941188820596199027e-03
8.689710714517855195e+01,-2.113205266666665799e-04,-3.190259333333332701e-03,-2.681326085432884660e-03,3.713714858141665704e-04,-2.938773623177595891e-03
8.981213809160713879e+01,-1.421949300000000525e-04,-3.267131333333332666e-03,-2.646117285148704042e-03,5.968620468369441323e-04,-2.917231576445951033e-03
9.271593939517856597e+01,-7.489086000000002923e-05,-3.327474666666665852e-03,-2.605813481675557739e-03,8.183616298619677924e-04,-2.883081358159998199e-03
9.560960425232141802e+01,-9.520121139999990415e-06,-3.375326333333333699e-03,-2.564168436524584191e-03,1.030620698246889231e-03,-2.834110795614584993e-03
9.849410205589288125e+01,5.384862666666665528e-05,-3.413950666666666547e-03,-2.522241409405989298e-03,1.234659031976287650e-03,-2.783580687247765115e-03
1.013702971630357013e+02,1.152510633333332185e-04,-3.444595333333332673e-03,-2.482177591005884330e-03,1.427582785841988644e-03,-2.730078050723518633e-03
1.042389633237499851e+02,1.747834866666668149e-04,-3.465774666666666774e-03,-2.444276517655060311e-03,1.608445459848605605e-03,-2.676056827909999679e-03
1.071007967880357086e+02,2.315746333333332490e-04,-3.492714666666665510e-03,-2.407895466367248813e-03,1.777813527533365781e-03,-2.620002568896948828e-03
1.099564269308928743e+02,2.882619000000001411e-04,-3.498169666666667808e-03,-2.373875338578326517e-03,1.934516095760300571e-03,-2.561266670573082715e-03
1.128064254487500051e+02,3.404329666666666308e-04,-3.506061000000000854e-03,-2.338786582409562668e-03,2.079471847255091009e-03,-2.502107455006472980e-03
1.156513134487500025e+02,3.922858333333332495e-04,-3.504367666666665868e-03,-2.302058183260362670e-03,2.212839017611673703e-03,-2.442356585798783741e-03
1.184915684130357363e+02,4.412996333333334001e-04,-3.504708000000001343e-03,-2.262659857229675029e-03,2.334903827937418862e-03,-2.383393177817625351e-03
1.213276301451785315e+02,4.899025000000000211e-04,-3.486353666666666944e-03,-2.220748876171874889e-03,2.446845641829634155e-03,-2.324917238560624076e-03
1.241599050380357596e+02,5.343205666666666276e-04,-3.469536999999999535e-03,-2.175453769871302928e-03,2.547977191672465540e-03,-2.265644886570799665e-03
1.269887705558928559e+02,5.783050666666665314e-04,-3.446443333333333147e-03,-2.126486948204813193e-03,2.640511902313387536e-03,-2.205032012727369938e-03
1.298145788951785562e+02,6.200052333333333108e-04,-3.418617999999999570e-03,-2.071909675709373688e-03,2.724048262827078425e-03,-2.141233289886036815e-03
1.326376602701785714e+02,6.596950333333332370e-04,-3.386413333333333168e-03,-2.013040635102260074e-03,2.799676676944568617e-03,-2.074504812631230120e-03
1.354583258237499876e+02,6.974690000000000403e-04,-3.349856333333333606e-03,-1.951710663412648764e-03,2.868149211159715106e-03,-2.004847463470837803e-03
1.382768701808928995e+02,7.333786333333335017e-04,-3.309260999999999973e-03,-1.889402795338142446e-03,2.929335640808763616e-03,-1.933342135740527329e-03
1.410935737880357124e+02,7.674407000000001144e-04,-3.265165666666666310e-03,-1.826329316778918218e-03,2.984942611347287007e-03,-1.860632179332923812e-03
1.439087051451785157e+02,7.997023333333332746e-04,-3.218079666666666741e-03,-1.762519405662119499e-03,3.034573035848858649e-03,-1.786894237033896660e-03
1.467225223773214111e+02,8.301409333333331902e-04,-3.168989000000000094e-03,-1.699025534880750426e-03,3.079504390589264760e-03,-1.711825778698620928e-03
1.495352753058928670e+02,8.589013333333331800e-04,-3.118525666666666345e-03,-1.634920364920314662e-03,3.119954459553205689e-03,-1.636972821846185283e-03
1.523472073058927947e+02,8.858545666666667621e-04,-3.067000666666666597e-03,-1.570502000458123219e-03,3.156190042569522684e-03,-1.562987622758382463e-03
