x_over_h,Cf_Spalding
0.000000000000000000e+00,1.843199433333332984e-02
2.678464319642857916e+00,1.871539108458333822e-02
5.353663143392857648e+00,1.901732356229127868e-02
8.010580127321432542e+00,1.809983664771135092e-02
1.061450204517857365e+01,1.536196735220227670e-02
1.312647218267857774e+01,1.156890995934494078e-02
1.553244542553571605e+01,7.903736701208989926e-03
1.784582381660714034e+01,4.989925098565500469e-03
2.009116427732142895e+01,2.678345223817284529e-03
2.229527177732143528e+01,4.810686970386781561e-04
2.448455781125000286e+01,-3.570301499119679189e-04
2.667852838089284973e+01,-7.022582849241972838e-04
2.888510815589285841e+01,-8.173247946557137596e-04
3.110597599875000441e+01,-8.750373746247613925e-04
3.334121031839285365e+01,-9.122275861077855071e-04
3.558988525232142308e+01,-9.355915014490448793e-04
3.785125368089284592e+01,-9.538943552035916359e-04
4.012903353803570639e+01,-9.532362423515560249e-04
4.243255716303571035e+01,-9.409981285888000544e-04
4.477327846660713817e+01,-9.040919899045480766e-04
4.716365859160713114e+01,-8.685534455963454022e-04
4.961736484160711314e+01,-8.272542944210693706e-04
5.214662794875001595e+01,-7.877878308332077585e-04
5.475846737732143765e+01,-7.507757857963186059e-04
5.745604068089283345e+01,-7.158232501291107632e-04
6.024116964517858008e+01,-6.831444374173103844e-04
6.311406748446427883e+01,-6.549701094551338117e-04
6.607289318089286212e+01,-6.305849526676551636e-04
6.908727859160714502e+01,-6.002002195152186716e-04
7.210323444875000121e+01,-5.533203666666666959e-04
7.509706127017857114e+01,-4.921309666666665462e-04
7.807133121660712050e+01,-4.242562666666668011e-04
8.102822196660713416e+01,-3.533561999999999966e-04
8.396960641303573425e+01,-2.819378000000000639e-04
8.689710714517855195e+01,-2.113205266666665799e-04
8.981213809160713879e+01,-1.421949300000000525e-04
9.271593939517856597e+01,-7.489086000000002923e-05
9.560960425232141802e+01,-9.520121139999990415e-06
9.849410205589288125e+01,5.384862666666665528e-05
1.013702971630357013e+02,1.152510633333332185e-04
1.042389633237499851e+02,1.747834866666668149e-04
1.071007967880357086e+02,2.315746333333332490e-04
1.099564269308928743e+02,2.882619000000001411e-04
1.128064254487500051e+02,3.404329666666666308e-04
1.156513134487500025e+02,3.922858333333332495e-04
1.184915684130357363e+02,4.412996333333334001e-04
1.213276301451785315e+02,4.899025000000000211e-04
1.241599050380357596e+02,5.343205666666666276e-04
1.269887705558928559e+02,5.783050666666665314e-04
1.298145788951785562e+02,6.200052333333333108e-04
1.326376602701785714e+02,6.596950333333332370e-04
1.354583258237499876e+02,6.974690000000000403e-04
1.382768701808928995e+02,7.333786333333335017e-04
1.410935737880357124e+02,7.674407000000001144e-04
1.439087051451785157e+02,7.997023333333332746e-04
1.467225223773214111e+02,8.301409333333331902e-04
1.495352753058928670e+02,8.589013333333331800e-04
1.523472073058927947e+02,8.858545666666667621e-04
1.551585565023213746e+02,9.109888999999998186e-04
1.579695574487499812e+02,9.344557999999997819e-04
1.607804425558927903e+02,9.561476333333327913e-04
1.635914435023214537e+02,9.760588666666665178e-04
1.664027926987500052e+02,9.941835333333332719e-04
1.692147246987499898e+02,1.010508066666666784e-03
1.720274776273214172e+02,1.024999033333333235e-03
1.748412948594643126e+02,1.037611566666666631e-03
1.776564262166070876e+02,1.048283133333332987e-03
1.804731298237499857e+02,1.056919866666666515e-03
1.832916741808928407e+02,1.063430666666666507e-03
1.861123397344642285e+02,1.067695566666666514e-03
